id,time,exit,detector,dir,regime,class,r_off,r_on,swap_R,comm_R,nights,stop,price,lots_spec,suppressed,terminal
105,2020-09-08 20:00:00,2020-09-13 03:38:47,EMArevQ,BUY,TREND_UP,DISCRETION,0.890,0.739,-0.117,-0.023,4,290.53,10128.25,0.86,False,TP
106,2020-09-14 04:00:00,2020-09-16 16:38:50,TrendCont,BUY,TREND_UP,DISCRETION,2.500,2.384,-0.055,-0.042,2,160.40,10405.70,1.55,False,TP
107,2020-09-17 16:00:00,2020-09-20 02:00:36,TrendCont,BUY,TREND_UP,DISCRETION,0.510,0.355,-0.100,-0.038,2,184.84,10924.45,1.35,False,BE
108,2020-09-20 04:00:00,2020-09-20 12:16:51,TrendCont,BUY,TREND_UP,DISCRETION,-1.010,-1.166,-0.000,-0.109,0,65.68,10965.30,3.8000000000000003,False,SL
109,2020-09-25 12:00:00,2020-09-27 06:42:12,TrendCont,BUY,TREND_UP,DISCRETION,0.490,0.318,-0.081,-0.063,1,110.62,10658.15,2.25,False,BE
110,2020-09-27 12:00:00,2020-09-28 23:15:21,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.440,-0.000,-0.042,0,168.49,10758.25,1.48,False,BE
111,2020-09-29 08:00:00,2020-09-29 17:06:15,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.089,-0.000,-0.062,0,112.88,10762.65,2.21,False,SL
112,2020-09-30 12:00:00,2020-10-01 15:51:24,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.346,-0.073,-0.056,1,124.77,10782.55,2.0,False,BE
113,2020-10-06 12:00:00,2020-10-06 18:55:51,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.088,-0.000,-0.061,0,114.73,10735.16,2.17,False,SL
114,2020-10-07 04:00:00,2020-10-08 14:37:39,SweepMSS,SELL,CHOP,DISCRETION,-1.000,-1.092,-0.034,-0.040,1,172.54,10621.45,1.44,False,SL
115,2020-10-12 12:00:00,2020-10-21 22:15:51,TrendCont,BUY,TREND_UP,DISCRETION,2.500,2.300,-0.171,-0.020,7,369.33,11554.70,0.67,False,TP
116,2020-10-25 16:00:00,2020-10-26 15:37:34,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.429,-0.000,-0.052,0,162.10,13054.05,1.54,False,BE
117,2020-10-29 12:00:00,2020-11-02 09:00:11,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.429,-0.046,-0.018,2,487.12,13447.91,0.51,False,BE
118,2020-11-04 04:00:00,2020-11-05 10:51:48,SweepMSS,BUY,TREND_UP,TAKE,2.010,1.956,-0.017,-0.027,1,327.85,13605.95,0.76,False,TP
119,2020-11-08 08:00:00,2020-11-09 13:50:42,TrendCont,BUY,TREND_UP,DISCRETION,0.490,0.464,-0.000,-0.020,0,489.35,15185.85,0.51,False,BE
120,2020-11-14 20:00:00,2020-11-17 16:55:49,TrendCont,BUY,TREND_UP,DISCRETION,2.500,2.447,-0.018,-0.027,1,380.74,16080.80,0.65,False,TP
121,2020-11-19 08:00:00,2020-11-22 11:49:10,TrendCont,BUY,TREND_UP,DISCRETION,0.490,0.410,-0.048,-0.025,2,463.50,17778.66,0.53,False,BE
122,2020-11-22 12:00:00,2020-11-26 03:02:29,TrendCont,BUY,TREND_UP,DISCRETION,0.490,0.427,-0.043,-0.016,3,725.02,18311.31,0.34,False,BE
123,2020-11-28 12:00:00,2020-12-16 13:45:42,TrendCont,BUY,TREND_UP,DISCRETION,2.550,2.404,-0.125,-0.016,12,706.60,17531.45,0.35000000000000003,False,TP
124,2020-12-22 08:00:00,2020-12-23 11:09:41,TrendCont,BUY,TREND_UP,DISCRETION,0.480,0.434,-0.024,-0.019,1,808.43,23123.91,0.3,False,BE
125,2020-12-23 12:00:00,2020-12-23 22:23:09,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.026,-0.000,-0.021,0,711.80,23452.76,0.35000000000000003,False,SL
126,2020-12-29 08:00:00,2021-01-02 13:38:44,TrendCont,BUY,TREND_UP,DISCRETION,2.500,2.428,-0.053,-0.016,4,1073.45,26838.21,0.23,False,TP
127,2021-01-04 12:00:00,2021-01-11 14:09:39,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.471,-0.023,-0.005,5,4017.45,31776.76,0.06,False,BE
128,2021-01-16 08:00:00,2021-01-17 06:01:09,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.012,-0.000,-0.011,0,2288.85,37678.90,0.1,False,SL
129,2021-01-25 20:00:00,2021-01-26 07:21:47,SweepMSS,BUY,TREND_UP,TAKE,-1.000,-1.047,-0.025,-0.019,1,1089.14,32269.01,0.22,False,SL
130,2021-01-26 20:00:00,2021-01-27 11:56:29,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.029,-0.015,-0.012,1,1790.64,32520.10,0.13,False,SL
131,2021-01-29 08:00:00,2021-02-21 19:04:21,TrendCont,BUY,TREND_UP,DISCRETION,2.800,2.730,-0.065,-0.005,16,5292.77,37130.70,0.04,False,TP
132,2021-02-22 04:00:00,2021-02-22 09:37:49,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.027,-0.000,-0.025,0,1472.15,56480.61,0.16,False,SL
133,2021-03-02 20:00:00,2021-03-04 17:56:46,TrendCont,BUY,TREND_UP,DISCRETION,0.470,0.408,-0.039,-0.020,2,1553.66,48491.85,0.16,False,BE
134,2021-03-08 08:00:00,2021-03-10 00:27:29,TrendCont,BUY,TREND_UP,DISCRETION,2.570,2.509,-0.033,-0.026,2,1283.79,50503.15,0.19,False,TP
135,2021-03-12 12:00:00,2021-03-15 09:22:19,TrendCont,BUY,TREND_UP,DISCRETION,0.460,0.417,-0.023,-0.018,1,2055.18,56973.31,0.12,False,BE
137,2021-03-20 00:00:00,2021-03-20 20:24:29,TrendCont,BUY,TREND_UP,DISCRETION,0.490,0.429,-0.000,-0.056,0,674.86,58394.25,0.37,False,BE
138,2021-03-24 08:00:00,2021-03-24 20:30:55,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.013,-0.000,-0.012,0,3183.34,56586.45,0.07,False,SL
139,2021-03-27 12:00:00,2021-03-28 19:13:55,TrendCont,BUY,TREND_UP,DISCRETION,0.480,0.445,-0.000,-0.032,0,1111.28,54986.25,0.22,False,BE
140,2021-03-28 20:00:00,2021-04-07 11:37:11,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.324,-0.142,-0.031,7,1156.12,55777.65,0.21,False,BE
141,2021-04-08 12:00:00,2021-04-14 03:50:23,TrendCont,BUY,TREND_UP,DISCRETION,2.500,2.378,-0.096,-0.025,4,1523.33,57764.85,0.16,False,TP
142,2021-04-14 20:00:00,2021-04-16 06:05:06,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.085,-0.060,-0.023,2,1772.20,62971.50,0.14,False,SL
143,2021-04-17 00:00:00,2021-04-18 03:19:23,SweepMSS,SELL,TREND_UP,TAKE,2.050,2.021,-0.000,-0.027,0,1496.99,62435.85,0.16,False,TP
144,2021-04-18 00:00:00,2021-04-27 11:50:02,SweepMSS,SELL,TREND_UP,TAKE,0.500,0.470,-0.024,-0.006,6,6273.34,55077.94,0.03,False,BE
145,2021-04-29 04:00:00,2021-04-29 15:17:14,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.038,-0.000,-0.035,0,1025.25,54481.15,0.24,False,SL
